VNDNBR,VndCode,VNDNAME,VNDTYPE,INV_YEAR, INVPAYAMT , INV_AMOUNT ,DPTNBR,DIV,DEPT,DEPT_CODE
M6004772,6004772,บ้านขนมไทย อินเตอร์เนชั่นแนล บจก. (SME),FOOD-MERCHANDISE,2023,"  159,698.18 ","  149,250.72 ",21622,04,22,0422
M6004776,6004776,เอ-เบสท์ บจก. (DF),FOOD-MERCHANDISE,2023,"  2,906,538.46 ","  2,716,391.09 ",21630,04,30,0430
M6004777,6004777,สไปซ์ สตอรี่ บจก. (Credit),FOOD-MERCHANDISE,2023,"  734,046.71 ","  686,024.90 ",21630,04,30,0430
M6004781,6004781,โปรแพลน อุตสาหกรรม บจก. (DF),FOOD-MERCHANDISE,2023,"  826,239.83 ","  772,186.80 ",21630,04,30,0430
M6004794,6004794,จันนิภา แก่นแก้ว,FOOD-MERCHANDISE,2023,"  22,618,847.78 ","  22,618,847.78 ",21730,05,30,0530
M6004804,6004804,เบทเตอร์เวย์ อินเตอร์เนชั่นแนล บจก.,FOOD-MERCHANDISE,2023,"  2,928,922.20 ","  2,623,358.25 ",21660,04,60,0460
M6004870,6004870,โนโวไลฟ์ บจก. (ABT),FOOD-MERCHANDISE,2023,"  3,282,762.48 ","  348,902.64 ",21860,06,40,0640
M6004883,6004883,คิงสเตลล่า กรุ๊ป บจก. (ABT),FOOD-MERCHANDISE,2023,"  125,391.53 ","  117,188.34 ",21670,04,70,0470
M6004897,6004897,ไท่ กั๋ว พิ่น โมเดิร์น เทรดดิ้ง (ประเทศไทย) บจก. (ABT),FOOD-MERCHANDISE,2023,"  483,302.20 ","  451,684.30 ",21620,04,20,0420
M6004917,6004917,ดีเคเอสเอช (ประเทศไทย) บจก. (Megachef),FOOD-MERCHANDISE,2023,"  18,728,145.00 ","  17,487,036.36 ",21630,04,30,0430
M6004929,6004929,ปรีชา บริบูรณ์,FOOD-MERCHANDISE,2023,"  21,900.00 ","  21,900.00 ",21790,05,70,0570
M6004936,6004936,ไอซ์ เทคโนโลยี พรอไพรทารี บจก. (TLKK),FOOD-MERCHANDISE,2023,"  14,065.15 ","  13,145.00 ",33420,00,0,00000
M6004945,6004945,พรีเมียมมิรุคุ บจก. (SME),FOOD-MERCHANDISE,2023,"  416,800.62 ","  389,533.27 ",21762,05,62,0562
M6004946,6004946,เกี๊ยกทอยส์ (ประเทศไทย) บจก. (DF),FOOD-MERCHANDISE,2023,"  1,027,349.21 ","  960,139.44 ",21620,04,20,0420
